City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
333,la'ie,21.6477,-157.9253,30.98,65,40,2.68,US,1686093525
334,tlapa de comonfort,17.55,-98.55,31.83,33,7,3.04,MX,1686093330
335,miguel auza,24.2933,-103.4503,27.73,21,74,2.77,MX,1686093331
336,island harbour,50.724,-1.2758,12.78,79,0,2.68,GB,1686093525
337,tacotalpa,17.6,-92.8167,32.14,45,66,4.54,MX,1686093331
338,purpe,64.4803,76.6897,15.26,47,65,5.02,RU,1686093329
339,gilgit,35.9221,74.3087,19.38,44,86,1.44,PK,1686093331
340,dhulia,20.9,74.7833,29.83,48,1,5.07,IN,1686093331
341,agat village,13.3886,144.6585,30.53,73,75,9.26,GU,1686093331
342,bubaque,11.2833,-15.8333,27.65,72,69,6.22,GW,1686093526
343,shitanjing,39.2342,106.3439,19.36,40,38,4.34,CN,1686093332
344,carutapera,-1.195,-46.02,24.8,89,28,2.59,BR,1686093526
345,papao,-17.75,-149.55,29.82,75,82,7.26,PF,1686093526
346,suntar,62.1444,117.6319,10.78,53,60,0.81,RU,1686093332
347,kone,-21.0595,164.8658,23.35,49,9,2.93,NC,1686093332
348,berdigestyakh,62.0989,126.6992,13.93,53,13,3.27,RU,1686093332
349,la jagua de ibirico,9.5623,-73.3341,25.65,93,100,1.22,CO,1686093333
350,bida,9.0833,6.0167,24.69,85,78,2.09,NG,1686093333
351,el jadid,33.2549,-8.506,21.36,73,100,2.91,MA,1686093333
352,revda,56.801,59.9303,10.78,98,100,2.7,RU,1686093527
353,bueng kan,18.363,103.6519,24.44,97,100,0.71,TH,1686093333
354,lata,40.1629,-8.3327,19.95,91,100,0.92,PT,1686093527
355,yamada,39.4667,141.95,16.49,92,99,1.94,JP,1686093333
356,port lincoln,-34.7333,135.8667,16.17,83,26,5.35,AU,1686093528
357,karatuzskoye,53.6072,92.8667,17.05,73,2,1.62,RU,1686093334
358,cape town,-33.9258,18.4232,11.73,75,0,3.09,ZA,1686093131
359,umea,63.8284,20.2597,6.62,93,20,1.54,SE,1686092767
360,hafar al-batin,28.4328,45.9708,30.17,33,99,1.13,SA,1686093334
361,kabompo,-13.5927,24.2008,14.49,46,1,2.24,ZM,1686093334
362,sola,-13.8833,167.55,25.67,80,97,7.9,VU,1686093334
363,greymouth,-42.4667,171.2,8.75,70,0,2.16,NZ,1686093335
